admin_id_old,admin_id_new,code,rule,provenance
AF-BK-SR,AF-BK-SHO,SHO,name,cc0
AF-BL-AN,AF-BL-AND,AND,name,spine
AF-BL-BA,AF-BL-BAG,BAG,name,spine
AF-BL-BJ,AF-BL-BAJ,BAJ,compound,cc0
AF-BL-BU,AF-BL-BUR,BUR,name,cc0
AF-BL-DG,AF-BL-DIG,DIG,initials,cc0
AF-BL-DO,AF-BL-DOS,DOS,name,spine
AF-BL-KA,AF-BL-KAH,KAH,name,spine
AF-BL-KF,AF-BL-KWF,KWF,initials,cc0
AF-BL-KH,AF-BL-KHI,KHI,name,cc0
AF-BL-NA,AF-BL-NAH,NAH,name,cc0
AF-BL-PK,AF-BL-PUK,PUK,compound,cc0
AF-BL-TB,AF-BL-TWB,TWB,initials,cc0
AF-BM-BA,AF-BM-BAM,BAM,name,cc0
AF-BM-PA,AF-BM-PAN,PAN,name,cc0
AF-BM-SH,AF-BM-SHI,SHI,name,cc0
AF-BM-WA,AF-BM-WAR,WAR,name,cc0
AF-BM-YA,AF-BM-YAK,YAK,name,cc0
AF-DK-DK,AF-DK-DAK,DAK,compound,spine
AF-DK-GI,AF-DK-GIZ,GIZ,name,cc0
AF-DK-KI,AF-DK-KIJ,KIJ,name,spine
AF-DK-SR,AF-DK-SHA,SHA,name,cc0
AF-FB-AL,AF-FB-ALM,ALM,name,cc0
AF-FB-AN,AF-FB-AND,AND,name,spine
AF-FB-BI,AF-FB-BIL,BIL,name,cc0
AF-FB-DA,AF-FB-DAA,DAA,compound,cc0
AF-FB-KC,AF-FB-KCB,KCB,initials,cc0
AF-FB-KO,AF-FB-KOH,KOH,name,cc0
AF-FB-KS,AF-FB-KSP,KSP,initials,cc0
AF-FB-MA,AF-FB-MAY,MAY,name,cc0
AF-FB-PK,AF-FB-PAK,PAK,compound,cc0
AF-FB-QA,AF-FB-QAY,QAY,name,spine
AF-FB-QQ,AF-FB-QAR,QAR,name,cc0
AF-FB-ST,AF-FB-SHT,SHT,compound,cc0
AF-FH-AD,AF-FH-AND,AND,compound,cc0
AF-FH-BA,AF-FH-BAK,BAK,name,cc0
AF-FH-BB,AF-FH-BAB,BAB,compound,cc0
AF-FH-FH,AF-FH-FAR,FAR,name,spine
AF-FH-GU,AF-FH-GUL,GUL,name,cc0
AF-FH-KS,AF-FH-KHS,KHS,compound,cc0
AF-FH-LJ,AF-FH-LWJ,LWJ,initials,cc0
AF-FH-PC,AF-FH-PUC,PUC,compound,cc0
AF-FH-PR,AF-FH-PUR,PUR,compound,cc0
AF-FH-QK,AF-FH-QIK,QIK,initials,cc0
AF-FH-SK,AF-FH-SHK,SHK,compound,cc0
AF-GR-CH,AF-GR-CHA,CHA,name,spine
AF-GR-LS,AF-GR-LLW,LLW,initials,cc0
AF-GR-PA,AF-GR-PAS,PAS,name,cc0
AF-GR-SA,AF-GR-SAG,SAG,name,spine
AF-GR-SH,AF-GR-SHA,SHA,name,cc0
AF-GR-TA,AF-GR-TAY,TAY,name,cc0
AF-GR-TU,AF-GR-TUL,TUL,name,cc0
AF-GZ-AB,AF-GZ-ABB,ABB,compound,spine
AF-GZ-AJ,AF-GZ-AJR,AJR,name,cc0
AF-GZ-AN,AF-GZ-AND,AND,name,cc0
AF-GZ-DI,AF-GZ-DIY,DIY,compound,cc0
AF-GZ-GE,AF-GZ-GEL,GEL,name,cc0
AF-GZ-GH,AF-GZ-GHA,GHA,name,spine
AF-GZ-GI,AF-GZ-GIR,GIR,name,spine
AF-GZ-JR,AF-GZ-JAI,JAI,name.ends,cc0
AF-GZ-JT,AF-GZ-JAG,JAG,name,cc0
AF-GZ-MA,AF-GZ-MAL,MAL,name,cc0
AF-GZ-MU,AF-GZ-MUQ,MUQ,name,cc0
AF-GZ-NA,AF-GZ-NAA,NAA,name.ends,cc0
AF-GZ-NR,AF-GZ-NAW,NAW,name,cc0
AF-GZ-QA,AF-GZ-QAR,QAR,name,cc0
AF-GZ-ZK,AF-GZ-ZAK,ZAK,compound,cc0
AF-HM-BU,AF-HM-BU,BU,name,spine
AF-HM-DI,AF-HM-DI,DI,name,spine
AF-HM-GA,AF-HM-GA,GA,name,spine
AF-HM-KA,AF-HM-KA,KA,name,spine
AF-HM-LA,AF-HM-LA,LA,name,spine
AF-HM-MQ,AF-HM-MQ,MQ,initials,spine
AF-HM-NA,AF-HM-NA,NA,initials,spine
AF-HM-NB,AF-HM-NI,NI,compound.alt,spine
AF-HM-NS,AF-HM-NS,NS,initials,spine
AF-HM-NZ,AF-HM-NZ,NZ,initials,spine
AF-HM-RE,AF-HM-RE,RE,name,spine
AF-HM-SA,AF-HM-SA,SA,name,spine
AF-HM-WA,AF-HM-WA,WA,name,spine
AF-HR-AD,AF-HR-AD,AD,name,spine
AF-HR-CS,AF-HR-CS,CS,initials,spine
AF-HR-FS,AF-HR-FA,FA,name,spine
AF-HR-GH,AF-HR-GH,GH,name,spine
AF-HR-GL,AF-HR-GU,GU,name,spine
AF-HR-GZ,AF-HR-GZ,GZ,skeleton,spine
AF-HR-HI,AF-HR-HI,HI,name,spine
AF-HR-IN,AF-HR-IN,IN,name,spine
AF-HR-KA,AF-HR-KA,KA,name,spine
AF-HR-KK,AF-HR-KK,KK,initials,spine
AF-HR-KN,AF-HR-KU,KU,name,spine
AF-HR-KU,AF-HR-KS,KS,skeleton,spine
AF-HR-OB,AF-HR-OB,OB,name,spine
AF-HR-PZ,AF-HR-PZ,PZ,initials,spine
AF-HR-SD,AF-HR-SH,SH,name,spine
AF-HR-ZJ,AF-HR-ZJ,ZJ,initials,spine
AF-JW-AQ,AF-JW-AQ,AQ,name,spine
AF-JW-DR,AF-JW-DA,DA,name,spine
AF-JW-FA,AF-JW-FA,FA,initials,spine
AF-JW-KD,AF-JW-KD,KD,initials,spine
AF-JW-KM,AF-JW-KH,KH,name,spine
