pattern,regex,complexity,active
Sx-[S.]x( -D4)(-D3),^([0-9A-Z]+) ?-([0-9A-Z.]+)(?: +-([0-9A-Z]+))?(?:-([0-9A-Z]{3}))?$,2,1
A4 M:Sx B:(Sx)( L:(Sx)),^[A-Z]{4} M: ?([0-9A-Z.-]+) B:([0-9A-Z.+&/#-]+)?(?: L:([0-9A-Z.+&/#-]+)?)?(?:\([A-Z]\))?$,1,1
A4 M:Sx B:Sx L:(Sx)( Sx),^[A-Z]{4} M:([0-9A-Z.-]+) B:([0-9A-Z.+&/#-]+) L:([0-9A-Z.+&/#-]+)?(?: ([0-9A-Z.-]+))?$,2,1
A4 M:Sx( B:Sx) L:Sx,^[A-Z]{4} M:([0-9A-Z.-]+)(?: B:([0-9A-Z.+&/#-]+))? L:([0-9A-Z.+&/#-]+)$,2,1
A4 M:Sx B:Sx P:Sx( [EU]:Sx),^[A-Z]{4} M:([0-9A-Z.-]+) B:([0-9A-Z.+&/#-]+) P:([0-9A-Z.+&/#-]+)(?: [EU]:([0-9A-Z.-]+))?$,2,1
A4 M:Sx( B:Sx)( L:Sx)( [SUP]:(Sx)),^[A-Z]{4} M:([0-9A-Z.-]+)(?: B:([0-9A-Z.+&/#-]+))?(?: L:([0-9A-Z.+&/#-]+))?(?: [SUP]:([0-9A-Z.-]+)?)?$,3,1
A4 M:Sx L:Sx( S:(Sx)),^[A-Z]{4} M:([0-9A-Z.-]+) L:([0-9A-Z.+&/#-]+)(?: S:([0-9A-Z.+&/#-]+)?)?$,2,1
A4 M:Sx L:Sx Sx,^[A-Z]{4} M:([0-9A-Z.-]+) L:([0-9A-Z.+&/#-]+) ([0-9A-Z.+&/#-]+)$,2,1
A4 M:Sx P:Sx( [ES]:(Sx))( U:Sx),^[A-Z]{4} M:([0-9A-Z.-]+)[ -]P:([0-9A-Z.+&/#-]+)(?: [ES]:([0-9A-Z.+&/#-]+)?)?(?: U:([0-9A-Z.-]+))?$,2,1
A4 [SM]:Sx [BR]:Sx( [LS:(Sx)),^[A-Z]{4} [SM]:([0-9A-Z.-]+) [BR]:([0-9A-Z.+&/#-]+)(?: [LS]:([0-9A-Z.+&/#-]+)?)?$,1,1
A4 Sx S:Sx P:Sx L:Sx,^[A-Z]{4} ([0-9A-Z]+) S:([0-9A-Z.-]+) P:([0-9A-Z.-]+) L:([0-9A-Z.-]+)$,1,1
A4 A:Sx A:(Sx)( A:(Sx))( (A:)(Sx)),^[A-Z]{4} [A-Z]: ?([0-9A-Z.-]+)[ -]+[A-Z]:([0-9A-Z.+&/#-]+)?(?: +[A-Z]:([0-9A-Z.+&/#-]+)?)?(?: +(?:[A-Z]:)?([0-9A-Z.-]+)?)?$,4,1
A4 A:Sx( A) A:Sx A:Sx( A),^[A-Z]{4} [A-Z]:([0-9A-Z]+)(?: ([A-Z])?)? +[A-Z]:([0-9A-Z]+)? +[A-Z]:([0-9A-Z]+)(?: ([A-Z])?)?$,5,1
A4 A:[D.]x-Dx-[D.]x,^[A-Z]{4} [A-Z]:([0-9.]+)-([0-9.]+)-([0-9.]+)$,1,1
A4 A-D2-D5(-S)(-Sx).,^[A-Z]{4} ([A-Z])-([0-9]{2})-([0-9]{5})(?:-([0-9A-Z]))?(?:-([0-9A-Z]+))?\.$,1,1
A4 D6-D6((Sx)),^[A-Z]{4} ([0-9]{6})-([0-9]{6})(?:\(([0-9A-Z]+)\))?$,1,1
A4 [S.]x,^[A-Z]{4} ([0-9A-Z.]+)$,0,1
{Sx-Sx-Sx-Sx-Sx},^\{([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)\}$,1,1
Dx-Dx-Dx-Dx-Dx.Dx-Dx,^([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)-([0-9]+)\.([0-9]+)-([0-9]+)$,1,1
D2[ G]D4-S2-(*)[S.]x(-[S.]x),^([0-9]{2})(G?) ?([0-9]{4})-([0-9A-Z]{2})(?:-\*?([0-9A-Z]+)?)?(?:-([0-9A-Z.]+))?$,1,1
[DG]x-D2-D2-S2-S5.S-S4.S2,"^([0-9G]{2,3})-([0-9]{2})-([0-9]{2})-([0-9A-Z]{2})-([0-9A-Z]{5})\.([0-9A-Z])-([0-9A-Z]{4})\.([0-9A-Z]{2})$",1,1
D-S2-S2-S2-D4-S5-S4,^([0-9])-([0-9A-Z]{2})-([0-9A-Z]{2})-([0-9A-Z]{2})-([0-9]{4})-([0-9A-Z]{5})-([0-9A-Z]{4})$,1,1
Sx-Sx-Sx-Sx-Sx-Sx,^([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)-([0-9A-Z]+)$,1,1
