country_id,admin_id_admin1,admin_id,name,kind,origin,source_column,pattern,conv,match_rate,n_ids_parcel,n_ids_tax
US,39035,US-OH-CU,Cuyahoga,tax,auto,apn,Ignored,simple,0.956,499260.0,525323.0
US,39037,US-OH-DA,Darke,parcel,auto,apn,Ignored,simple,0.977,30247.0,31612.0
US,39037,US-OH-DA,Darke,tax,auto,apn,Ignored,simple,0.977,30247.0,31612.0
US,39039,US-OH-DF,Defiance,parcel,auto,apn,Ignored,simple,0.951,26256.0,27012.0
US,39039,US-OH-DF,Defiance,tax,auto,apn,Ignored,simple,0.951,26256.0,27012.0
US,39041,US-OH-DE,Delaware,parcel,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.984,80073.0,90670.0
US,39041,US-OH-DE,Delaware,tax,auto,apn,Ignored,simple,0.984,80073.0,90670.0
US,39043,US-OH-ER,Erie,parcel,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.989,42771.0,46446.0
US,39043,US-OH-ER,Erie,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.989,42771.0,46446.0
US,39045,US-OH-FA,Fairfield,parcel,auto,apn,Dx,,0.991,69963.0,71539.0
US,39045,US-OH-FA,Fairfield,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.991,69963.0,71539.0
US,39047,US-OH-FY,Fayette,parcel,auto,apn,Sx(-)Dx,skip_empty: 1,0.91,17912.0,18464.0
US,39047,US-OH-FY,Fayette,tax,auto,apn,Sx-Sx-Sx-Sx-Sx-Sx,keep_length: 1 2 3 4 5 & merge_after: 0 0 0 0 0 & skip_empty: 1,0.91,17912.0,18464.0
US,39049,US-OH-FR,Franklin,parcel,auto,apn,Sx(-)Dx,skip_empty: 1,0.978,393604.0,436362.0
US,39049,US-OH-FR,Franklin,tax,auto,apn,Sx-Sx-Sx,skip_empty: 1,0.978,393604.0,436362.0
US,39051,US-OH-FU,Fulton,parcel,auto,apn,Ignored,simple,0.989,23070.0,24687.0
US,39051,US-OH-FU,Fulton,tax,auto,apn,Ignored,simple,0.989,23070.0,24687.0
US,39053,US-OH-GA,Gallia,parcel,auto,apn,Ignored,simple,0.805,26042.0,28937.0
US,39053,US-OH-GA,Gallia,tax,auto,apn,Ignored,simple,0.805,26042.0,28937.0
US,39055,US-OH-GE,Geauga,parcel,auto,apn,Sx-Sx,split_groups: 0|4 & skip_empty: 1,0.995,50033.0,54174.0
US,39055,US-OH-GE,Geauga,tax,auto,apn,Sx-Sx,,0.995,50033.0,54174.0
US,39057,US-OH-GR,Greene,parcel,auto,apn,Ignored,simple,1.0,73056.0,76501.0
US,39057,US-OH-GR,Greene,tax,auto,apn,Sx,keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,1.0,73056.0,76501.0
US,39059,US-OH-GU,Guernsey,parcel,auto,apn,Ignored,simple,0.975,39599.0,46058.0
US,39059,US-OH-GU,Guernsey,tax,auto,apn,Ignored,simple,0.975,39599.0,46058.0
US,39061,US-OH-HA,Hamilton,parcel,auto,apn,Sx,string_lengths: 4 4 4 & skip_empty: 1,0.839,378192.0,354068.0
US,39061,US-OH-HA,Hamilton,tax,auto,apn,Sx-Sx-Sx-Sx,drop_cols: 3 & skip_empty: 1,0.839,378192.0,354068.0
US,39063,US-OH-HN,Hancock,parcel,auto,apn2,Sx,,0.954,38500.0,41292.0
US,39063,US-OH-HN,Hancock,tax,auto,apn,Sx,split_groups: 0|13 & drop_cols: 0_1 & skip_empty: 1,0.954,38500.0,41292.0
US,39065,US-OH-HR,Hardin,parcel,auto,apn,Sx,,0.774,25201.0,19865.0
US,39065,US-OH-HR,Hardin,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.774,25201.0,19865.0
US,39067,US-OH-HS,Harrison,parcel,auto,apn,Sx,split_groups: 0|[E] & keep_length: 0_1 & merge_after: 0_0 & skip_empty: 1,0.987,17550.0,21062.0
US,39067,US-OH-HS,Harrison,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.987,17550.0,21062.0
US,39069,US-OH-HE,Henry,parcel,auto,apn,Ignored,simple,0.999,19308.0,21152.0
US,39069,US-OH-HE,Henry,tax,auto,apn,Ignored,simple,0.999,19308.0,21152.0
US,39071,US-OH-HI,Highland,parcel,auto,apn,Ignored,simple,0.971,31852.0,34288.0
US,39071,US-OH-HI,Highland,tax,auto,apn,Ignored,simple,0.971,31852.0,34288.0
US,39073,US-OH-HC,Hocking,parcel,auto,apn,Dx,keep_length: 1 & skip_empty: 1,0.889,22100.0,21530.0
US,39073,US-OH-HC,Hocking,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.889,22100.0,21530.0
US,39075,US-OH-HO,Holmes,parcel,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.988,27671.0,36709.0
US,39075,US-OH-HO,Holmes,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.988,27671.0,36709.0
US,39077,US-OH-HU,Huron,parcel,auto,apn,Ignored,simple,0.931,40344.0,42116.0
US,39077,US-OH-HU,Huron,tax,auto,apn,Ignored,simple,0.931,40344.0,42116.0
US,39079,US-OH-JA,Jackson,parcel,auto,apn2,Sx,string_lengths: 3 1 4 4 1 & fill_zeros: 4 & merge_after: 3 & skip_empty: 1,0.98,27542.0,30490.0
US,39079,US-OH-JA,Jackson,tax,auto,apn,Sx,string_lengths: 3 1 4 4 1 & fill_zeros: 4 & merge_after: 3 & skip_empty: 1,0.98,27542.0,30490.0
US,39081,US-OH-JE,Jefferson,parcel,auto,apn,Ignored,simple,0.919,56516.0,64211.0
US,39081,US-OH-JE,Jefferson,tax,auto,apn,Ignored,simple,0.919,56516.0,64211.0
US,39083,US-OH-KN,Knox,parcel,auto,apn,Ignored,simple,0.994,40756.0,43729.0
US,39083,US-OH-KN,Knox,tax,auto,apn,Ignored,simple,0.994,40756.0,43729.0
US,39085,US-OH-LA,Lake,parcel,auto,apn,Ignored,simple,0.975,104441.0,110831.0
US,39085,US-OH-LA,Lake,tax,auto,apn,Ignored,simple,0.975,104441.0,110831.0
US,39087,US-OH-LW,Lawrence,parcel,auto,apn,Ignored,simple,0.866,54579.0,56541.0
US,39087,US-OH-LW,Lawrence,tax,auto,apn,Ignored,simple,0.866,54579.0,56541.0
US,39089,US-OH-LI,Licking,parcel,auto,apn,Ignored,simple,0.779,91219.0,85225.0
US,39089,US-OH-LI,Licking,tax,auto,apn,Ignored,simple,0.779,91219.0,85225.0
US,39091,US-OH-LG,Logan,parcel,auto,apn,Dx,split_groups: 0|16 & drop_cols: 0_1,0.974,34847.0,37095.0
US,39091,US-OH-LG,Logan,tax,auto,apn,Sx-Sx-Sx-Sx-Sx-Sx,keep_length: 1 2 3 4 5 & merge_after: 0 0 0 0 0 & skip_empty: 1,0.974,34847.0,37095.0
US,39093,US-OH-LO,Lorain,parcel,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,1.0,162082.0,167469.0
US,39093,US-OH-LO,Lorain,tax,auto,apn,Dx,,1.0,162082.0,167469.0
US,39095,US-OH-LU,Lucas,parcel,auto,apn,Dx,string_lengths: 2 3 2 & skip_empty: 1,0.998,189460.0,204357.0
US,39095,US-OH-LU,Lucas,tax,auto,apn,Sx-Sx,split_groups: 1|3 & skip_empty: 1,0.998,189460.0,204357.0
US,39097,US-OH-MD,Madison,parcel,auto,apn,Ignored,simple,0.842,23266.0,22685.0
US,39097,US-OH-MD,Madison,tax,auto,apn,Ignored,simple,0.842,23266.0,22685.0
US,39099,US-OH-MA,Mahoning,parcel,auto,apn,Unrecognized,,0.984,157588.0,163868.0
US,39099,US-OH-MA,Mahoning,tax,auto,apn,Unrecognized,,0.984,157588.0,163868.0
US,39101,US-OH-MR,Marion,parcel,auto,apn,Dx,split_groups: 0|16 & drop_cols: 0_1,0.878,37235.0,36555.0
US,39101,US-OH-MR,Marion,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.878,37235.0,36555.0
US,39103,US-OH-ME,Medina,parcel,auto,apn,Ignored,simple,0.419,123143.0,85237.0
US,39103,US-OH-ME,Medina,tax,auto,apn,Ignored,simple,0.419,123143.0,85237.0
US,39105,US-OH-MG,Meigs,parcel,auto,apn,Dx,split_groups: 0|2 0_1|1 0_1_1|1 0_1_1_1|2 0_1_1_1_1|3 0_1_1_1_1_1|3 0_1_1_1_1_1_1|3 0_1_1_1_1_1_1_1|2 & skip_empty: 1,0.08,27985.0,30581.0
US,39105,US-OH-MG,Meigs,tax,auto,apn,Sx,string_lengths: 2 3 2 3 & skip_empty: 1,0.08,27985.0,30581.0
US,39107,US-OH-MC,Mercer,parcel,auto,apn,Ignored,simple,0.98,25084.0,28440.0
US,39107,US-OH-MC,Mercer,tax,auto,apn,Ignored,simple,0.98,25084.0,28440.0
US,39109,US-OH-MI,Miami,parcel,auto,apn,Sx-Sx,keep_length: 1 & merge_after: 0 & skip_empty: 1,0.999,51204.0,52728.0
US,39109,US-OH-MI,Miami,tax,auto,apn,Ignored,simple,0.999,51204.0,52728.0
US,39111,US-OH-MN,Monroe,parcel,auto,apn,Ignored,simple,0.955,16767.0,23431.0
US,39111,US-OH-MN,Monroe,tax,auto,apn,Ignored,simple,0.955,16767.0,23431.0
US,39113,US-OH-MO,Montgomery,parcel,auto,apn,Sx Sx( Sx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.91,260168.0,253775.0
US,39113,US-OH-MO,Montgomery,tax,auto,apn,Sx Sx( Sx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.91,260168.0,253775.0
US,39115,US-OH-OR,Morgan,parcel,auto,apn,Sx-Sx-Sx-Sx,keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.986,18898.0,31310.0
US,39115,US-OH-OR,Morgan,tax,auto,apn,Sx-Sx-Sx-Sx,keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.986,18898.0,31310.0
US,39117,US-OH-MW,Morrow,parcel,auto,apn,Ignored,simple,0.926,27723.0,27086.0
US,39117,US-OH-MW,Morrow,tax,auto,apn,Ignored,simple,0.926,27723.0,27086.0
US,39119,US-OH-MU,Muskingum,parcel,auto,apn,Ignored,simple,0.994,56200.0,75213.0
US,39119,US-OH-MU,Muskingum,tax,auto,apn,Ignored,simple,0.994,56200.0,75213.0
US,39121,US-OH-NO,Noble,parcel,auto,apn,Dx,split_groups: 0|16 & drop_cols: 0_1,0.883,16060.0,16785.0
US,39121,US-OH-NO,Noble,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.883,16060.0,16785.0
US,39123,US-OH-OT,Ottawa,parcel,auto,apn,Dx,,0.452,49577.0,42108.0
US,39123,US-OH-OT,Ottawa,tax,auto,apn,Sx-Sx-Sx-Sx,keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.452,49577.0,42108.0
US,39125,US-OH-PA,Paulding,parcel,auto,apn,Sx-Sx-Sx-Sx,skip_empty: 1,0.997,17114.0,18149.0
US,39125,US-OH-PA,Paulding,tax,auto,apn,Sx-Sx-Sx-Sx,skip_empty: 1,0.997,17114.0,18149.0
US,39127,US-OH-PE,Perry,parcel,auto,apn,Dx,split_groups: 0|16 & drop_cols: 0_1,0.792,29365.0,34612.0
US,39127,US-OH-PE,Perry,tax,auto,apn,Sx,split_groups: 0|13 & drop_cols: 0_1 & skip_empty: 1,0.792,29365.0,34612.0
US,39129,US-OH-PI,Pickaway,parcel,auto,apn,Sx,string_lengths: 14 & skip_empty: 1,0.91,28468.0,29502.0
US,39129,US-OH-PI,Pickaway,tax,auto,apn,Sx-Sx-Sx-Sx-Sx-Sx,keep_length: 1 2 3 4 5 & merge_after: 0 0 0 0 0 & skip_empty: 1,0.91,28468.0,29502.0
US,39131,US-OH-PK,Pike,parcel,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.962,22932.0,26065.0
US,39131,US-OH-PK,Pike,tax,auto,apn,Sx,split_groups: 0|13 & drop_cols: 0_1 & skip_empty: 1,0.962,22932.0,26065.0
US,39133,US-OH-PO,Portage,parcel,manual,apn,Sx-Sx-Sx-Sx-Sx-Sx,skip_empty: 1,,,
US,39133,US-OH-PO,Portage,tax,manual,apn,D2-D3-D2-D2-D3(-D3),skip_empty: 1,,,
US,39135,US-OH-PR,Preble,parcel,manual,apn,Sx,string_lengths: 3 4 3 2 3 3,,,
US,39135,US-OH-PR,Preble,tax,manual,apn,Sx-Sx-Sx-Sx-Sx-Sx,,,,
US,39137,US-OH-PU,Putnam,parcel,auto,apn,Sx,,0.962,29535.0,29981.0
US,39137,US-OH-PU,Putnam,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.962,29535.0,29981.0
US,39139,US-OH-RI,Richland,parcel,auto,apn,Ignored,simple,0.895,74791.0,76062.0
US,39139,US-OH-RI,Richland,tax,auto,apn,Ignored,simple,0.895,74791.0,76062.0
US,39141,US-OH-RO,Ross,parcel,auto,apn,Sx,split_groups: 0|3 0_1|3 0_1_1|4 0_1_1_1|2 0_1_1_1_1|1 0_1_1_1_1_1|1 0_1_1_1_1_1_1|2 & merge_after: 0_0 0_0 0_0 0_0 0_0 0_0 & skip_empty: 1,0.924,43116.0,48402.0
US,39141,US-OH-RO,Ross,tax,auto,apn,Sx,split_groups: 0|3 0_1|3 0_1_1|4 0_1_1_1|2 0_1_1_1_1|1 0_1_1_1_1_1|1 0_1_1_1_1_1_1|2 & merge_after: 0_0 0_0 0_0 0_0 0_0 0_0 & skip_empty: 1,0.924,43116.0,48402.0
US,39143,US-OH-SA,Sandusky,parcel,auto,apn,Dx,,0.979,33029.0,34240.0
US,39143,US-OH-SA,Sandusky,tax,auto,apn,Dx-Dx-Dx-Dx-Dx,keep_length: 1 2 3 4 & merge_after: 0 0 0 0 & skip_empty: 1,0.979,33029.0,34240.0
US,39145,US-OH-SC,Scioto,parcel,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.926,57864.0,56921.0
US,39145,US-OH-SC,Scioto,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.926,57864.0,56921.0
US,39147,US-OH-SE,Seneca,parcel,auto,apn,Sx,skip_empty: 1,0.685,42070.0,35458.0
US,39147,US-OH-SE,Seneca,tax,auto,apn,Ignored,simple,0.685,42070.0,35458.0
US,39149,US-OH-SH,Shelby,parcel,auto,apn,Ignored,simple,0.995,29687.0,31748.0
US,39149,US-OH-SH,Shelby,tax,auto,apn,Ignored,simple,0.995,29687.0,31748.0
US,39151,US-OH-ST,Stark,parcel,auto,apn,Dx,split_groups: 0|16 & drop_cols: 0_1,0.981,195963.0,216809.0
US,39151,US-OH-ST,Stark,tax,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.981,195963.0,216809.0
US,39153,US-OH-SU,Summit,parcel,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.987,247236.0,260968.0
US,39153,US-OH-SU,Summit,tax,auto,apn,Sx-Sx,keep_length: 1 & merge_after: 0 & skip_empty: 1,0.987,247236.0,260968.0
US,39155,US-OH-TR,Trumbull,parcel,auto,apn2,Ignored,simple,0.983,134003.0,141486.0
US,39155,US-OH-TR,Trumbull,tax,auto,apn,Ignored,simple,0.983,134003.0,141486.0
US,39157,US-OH-TU,Tuscarawas,parcel,auto,apn,Dx,,0.983,58473.0,71950.0
US,39157,US-OH-TU,Tuscarawas,tax,auto,apn,Sx-Sx-Sx,keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.983,58473.0,71950.0
US,39159,US-OH-UN,Union,parcel,auto,apn,Dx,split_groups: 0|14 & drop_cols: 0_1 & skip_empty: 1,0.876,30158.0,34323.0
US,39159,US-OH-UN,Union,tax,auto,tax_id,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.876,30158.0,34323.0
US,39161,US-OH-VW,Van Wert,parcel,auto,apn,Sx,,0.992,19453.0,20076.0
US,39161,US-OH-VW,Van Wert,tax,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 3 & merge_after: 0 0 0 & skip_empty: 1,0.992,19453.0,20076.0
US,39163,US-OH-VI,Vinton,parcel,auto,apn,Dx(.-Dx.-Dx),keep_length: 1 2 & merge_after: 0 0 & skip_empty: 1,0.864,12640.0,15599.0
US,39163,US-OH-VI,Vinton,tax,auto,apn,Sx,split_groups: 0|7 & skip_empty: 1,0.864,12640.0,15599.0
US,39165,US-OH-WA,Warren,parcel,auto,apn,Ignored,simple,0.979,96938.0,103461.0
US,39165,US-OH-WA,Warren,tax,auto,apn,Ignored,simple,0.979,96938.0,103461.0
US,39167,US-OH-WS,Washington,parcel,auto,apn,Dx,split_groups: 0|16 & drop_cols: 0_1,0.905,57670.0,78117.0
